,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0]","[152, 19, 17, 1, 2, 12]","[171, 22, 19, 1, 0, 6]","[81, 9, 33, 0, 1, 14]","[19, 4, 4, 1, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 96, 0, 0, 0, 0]"
1,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[6, 0, 0, 0, 0, 3]","[295, 3, 5, 2, 1, 21]","[196, 0, 6, 0, 0, 6]","[464, 0, 9, 1, 0, 18]","[451, 8, 7, 3, 3, 30]","[281, 18, 19, 5, 2, 33]","[332, 39, 17, 3, 3, 9]","[407, 66, 18, 4, 2, 8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 3, 2, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 4, 2, 0, 0, 0]"
2,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[71, 15, 20, 1, 2, 3]","[129, 12, 8, 1, 0, 10]","[212, 5, 32, 1, 0, 6]","[184, 9, 14, 2, 0, 12]","[70, 4, 5, 0, 1, 2]","[112, 2, 13, 1, 1, 0]","[87, 2, 20, 0, 0, 2]","[196, 5, 18, 3, 4, 10]","[187, 17, 22, 0, 1, 24]","[314, 22, 14, 8, 3, 14]","[247, 3, 13, 6, 0, 9]","[1022, 32, 36, 13, 10, 29]","[725, 66, 57, 7, 8, 36]","[590, 93, 14, 2, 2, 30]","[597, 201, 31, 10, 6, 35]","[710, 61, 16, 1, 1, 19]","[0, 0, 0, 0, 0, 0]","[9, 3, 0, 0, 0, 0]","[32, 2, 2, 0, 0, 2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[41, 5, 2, 0, 0, 2]"
3,"[0, 0, 0, 0, 0, 0]","[7, 0, 0, 0, 0, 0]","[7, 0, 1, 0, 0, 0]","[83, 5, 21, 0, 4, 3]","[205, 5, 27, 11, 9, 34]","[174, 4, 18, 1, 3, 9]","[113, 7, 10, 0, 0, 2]","[469, 26, 35, 6, 4, 33]","[172, 20, 39, 0, 1, 16]","[77, 6, 17, 2, 0, 0]","[153, 26, 20, 0, 2, 4]","[228, 27, 58, 1, 2, 6]","[59, 1, 7, 0, 0, 2]","[422, 69, 32, 3, 2, 21]","[600, 139, 82, 12, 9, 43]","[967, 215, 61, 3, 7, 27]","[773, 222, 47, 5, 11, 17]","[2216, 509, 159, 21, 19, 86]","[3234, 545, 165, 13, 15, 106]","[2595, 448, 172, 18, 15, 108]","[509, 137, 31, 2, 5, 28]","[368, 6, 12, 2, 5, 15]","[29, 4, 1, 0, 0, 0]","[11, 1, 0, 0, 1, 3]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[3512, 596, 216, 22, 26, 154]"
4,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[59, 0, 1, 1, 0, 3]","[52, 1, 20, 0, 1, 5]","[54, 4, 9, 8, 2, 7]","[44, 0, 3, 1, 0, 1]","[39, 3, 0, 2, 0, 2]","[74, 6, 4, 1, 0, 4]","[115, 11, 13, 0, 0, 18]","[93, 23, 21, 9, 5, 4]","[231, 30, 22, 1, 1, 11]","[185, 58, 34, 2, 2, 9]","[688, 132, 39, 1, 6, 17]","[557, 103, 49, 9, 7, 28]","[704, 138, 98, 10, 6, 57]","[581, 152, 67, 7, 7, 22]","[915, 233, 124, 2, 6, 37]","[697, 402, 115, 6, 14, 25]","[1671, 778, 459, 7, 12, 79]","[1551, 671, 553, 25, 48, 84]","[896, 263, 146, 54, 33, 59]","[640, 140, 56, 13, 16, 46]","[519, 128, 34, 2, 7, 24]","[279, 30, 23, 1, 0, 17]","[104, 22, 39, 2, 1, 8]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[3989, 1254, 851, 97, 105, 238]"
5,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[62, 0, 0, 0, 0, 9]","[19, 1, 0, 1, 0, 4]","[191, 1, 22, 11, 4, 14]","[160, 4, 34, 4, 2, 8]","[54, 1, 14, 2, 1, 2]","[30, 5, 0, 2, 0, 6]","[25, 2, 1, 1, 0, 3]","[67, 8, 3, 1, 3, 1]","[362, 15, 47, 26, 8, 24]","[283, 10, 26, 10, 4, 12]","[685, 27, 51, 8, 5, 31]","[584, 61, 77, 10, 6, 33]","[810, 61, 67, 7, 5, 36]","[348, 91, 34, 7, 7, 22]","[614, 87, 26, 3, 0, 27]","[921, 209, 81, 5, 6, 40]","[1164, 393, 111, 4, 16, 50]","[729, 255, 96, 25, 16, 29]","[423, 66, 51, 1, 1, 15]","[552, 103, 100, 3, 6, 24]","[288, 86, 68, 10, 6, 22]","[334, 73, 59, 9, 5, 23]","[496, 69, 36, 3, 4, 9]","[289, 60, 72, 1, 3, 13]","[125, 27, 23, 0, 1, 7]","[3, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[3239, 739, 505, 52, 42, 142]"
6,"[0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0]","[101, 0, 4, 0, 1, 11]","[171, 0, 2, 6, 0, 8]","[211, 4, 18, 5, 3, 18]","[47, 6, 18, 7, 1, 11]","[141, 6, 6, 3, 0, 11]","[121, 1, 16, 2, 0, 9]","[117, 10, 14, 13, 4, 11]","[274, 1, 31, 12, 8, 20]","[161, 18, 39, 8, 7, 13]","[679, 10, 78, 25, 13, 55]","[349, 9, 43, 11, 8, 27]","[295, 12, 31, 7, 2, 22]","[289, 14, 42, 15, 9, 24]","[307, 72, 35, 0, 5, 16]","[404, 36, 19, 1, 2, 13]","[504, 58, 17, 0, 1, 23]","[251, 50, 48, 1, 2, 21]","[56, 22, 11, 0, 0, 7]","[301, 30, 8, 2, 1, 14]","[368, 48, 38, 10, 6, 13]","[447, 59, 54, 1, 8, 18]","[344, 58, 43, 5, 8, 11]","[401, 73, 40, 11, 10, 24]","[498, 66, 108, 9, 6, 38]","[718, 43, 59, 1, 2, 27]","[109, 9, 6, 0, 0, 7]","[34, 1, 2, 0, 2, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[3276, 409, 369, 39, 43, 159]"
7,"[0, 0, 0, 0, 0, 0]","[170, 3, 12, 1, 0, 1]","[45, 0, 1, 1, 0, 7]","[112, 0, 3, 0, 0, 0]","[98, 0, 5, 2, 0, 16]","[242, 3, 43, 19, 7, 19]","[207, 5, 22, 8, 7, 8]","[294, 1, 32, 16, 5, 15]","[333, 16, 86, 25, 23, 11]","[443, 10, 80, 25, 12, 27]","[423, 3, 26, 12, 3, 21]","[212, 1, 51, 11, 5, 5]","[162, 1, 13, 4, 2, 8]","[359, 37, 102, 12, 5, 29]","[470, 67, 67, 9, 6, 29]","[438, 34, 41, 2, 0, 32]","[314, 11, 13, 1, 2, 15]","[521, 65, 38, 2, 2, 22]","[242, 65, 8, 1, 3, 7]","[249, 32, 3, 0, 1, 10]","[137, 27, 5, 0, 1, 4]","[460, 11, 33, 6, 5, 19]","[754, 2, 10, 3, 1, 23]","[215, 6, 24, 2, 4, 18]","[137, 9, 19, 3, 2, 3]","[233, 29, 94, 16, 9, 8]","[197, 16, 61, 23, 9, 7]","[226, 7, 20, 5, 5, 17]","[133, 3, 22, 3, 1, 18]","[41, 3, 10, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[2782, 145, 301, 61, 38, 127]"
8,"[0, 0, 0, 0, 0, 0]","[33, 1, 4, 0, 0, 15]","[213, 0, 24, 0, 1, 21]","[131, 0, 8, 0, 0, 0]","[370, 1, 28, 4, 0, 7]","[392, 4, 61, 14, 8, 6]","[211, 0, 8, 1, 0, 7]","[329, 5, 29, 9, 9, 6]","[91, 2, 22, 8, 3, 9]","[379, 4, 43, 43, 11, 2]","[48, 2, 10, 0, 0, 8]","[403, 7, 30, 4, 1, 6]","[157, 2, 15, 3, 3, 7]","[447, 31, 39, 15, 8, 10]","[241, 18, 38, 18, 3, 29]","[256, 14, 6, 0, 2, 17]","[186, 15, 13, 0, 0, 13]","[679, 81, 65, 1, 1, 26]","[326, 42, 27, 1, 3, 11]","[389, 26, 22, 0, 0, 22]","[314, 36, 13, 1, 1, 18]","[237, 4, 11, 4, 1, 21]","[503, 21, 63, 32, 15, 20]","[88, 6, 14, 18, 6, 4]","[143, 9, 28, 7, 6, 4]","[421, 10, 41, 17, 8, 16]","[205, 3, 23, 2, 1, 17]","[244, 12, 30, 3, 5, 6]","[221, 9, 12, 1, 3, 17]","[269, 3, 23, 4, 1, 16]","[45, 2, 11, 1, 2, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[3079, 141, 291, 90, 49, 161]"
